A̱o,Gasolina,Gasoil,Otros,Total
1900,2,1,0,3
1901,2,1,0,3
1902,7,1,0,8
1904,2,1,0,3
1905,4,0,0,4
1906,2,0,0,2
1907,18,1,0,19
1908,12,0,0,12
1909,16,1,1,18
1910,10,0,0,10
1911,19,1,0,20
1912,27,1,0,28
1913,14,0,1,15
1914,25,1,0,26
1915,15,0,0,15
1916,15,0,0,15
1917,20,0,0,20
1918,8,1,0,9
1919,24,0,0,24
1920,34,1,0,35
1921,33,0,0,33
1922,67,4,0,71
1923,131,1,2,134
1924,206,0,0,206
1925,292,1,0,293
1926,280,1,1,282
1927,307,0,0,307
1928,592,7,3,602
1929,853,8,4,865
1930,640,2,0,642
1931,369,3,2,374
1932,298,1,2,301
1933,403,3,2,408
1934,416,7,0,423
1935,451,8,0,459
1936,284,4,0,288
1937,202,1,0,203
1938,182,8,0,190
1939,212,2,0,214
1940,186,2,1,189
1941,126,1,1,128
1942,118,6,0,124
1943,105,4,0,109
1944,75,0,0,75
1945,95,3,0,98
1946,131,4,0,135
1947,225,8,0,233
1948,332,4,1,337
1949,316,11,0,327
1950,367,10,2,379
1951,465,27,4,496
1952,602,51,0,653
1953,915,41,0,956
1954,1102,52,0,1154
1955,1277,66,1,1344
1956,1858,93,3,1954
1957,1454,72,3,1529
1958,1622,63,1,1686
1959,2080,76,2,2158
1960,2579,131,8,2718
1961,3771,270,6,4047
1962,5161,338,1,5500
1963,6887,443,6,7336
1964,12921,549,1,13471
1965,18626,782,7,19415
1966,32612,835,9,33456
1967,42176,780,3,42959
1968,46861,800,3,47664
1969,59690,1067,10,60767
1970,64502,998,17,65517
1971,69433,785,15,70233
1972,76636,738,15,77389
1973,83630,821,30,84481
1974,69542,1254,27,70823
1975,64781,1473,34,66288
1976,66727,2237,25,68989
1977,69027,2901,32,71960
1978,69749,2729,41,72519
1979,64876,5046,42,69964
1980,57649,7186,28,64863
1981,48372,7973,48,56393
1982,47169,8870,47,56086
1983,43182,11322,45,54549
1984,37079,11981,14,49074
1985,41005,11635,31,52671
1986,53569,9789,41,63399
1987,73461,11901,55,85417
1988,87099,13181,23,100303
1989,95661,14576,35,110272
1990,87891,14935,18,102844
1991,86065,14745,96,100906
1992,96878,20805,557,118240
1993,74065,23087,7,97159
1994,86742,35806,7,122555
1995,78845,44228,5,123078
1996,93232,67396,11,160639
1997,120332,97646,34,218012
1998,154186,156345,65,310596
1999,206105,227044,153,433302
2000,230675,289324,352,520351
2001,294604,363353,502,658459
2002,283906,431074,401,715381
2003,315812,538891,308,855011
2004,348691,689714,302,1038707
2005,364147,799625,350,1164122
2006,369187,868418,1393,1238998
2007,366300,908121,370,1274791
2008,278706,669383,395,948484
2009,252732,616927,457,870116
2010,239851,639138,708,879697
2011,194276,512429,1033,707738
2012,171224,444023,1863,617110
2013,195853,461771,2453,660077
2014,246808,552360,3159,802327
2015,343195,636265,5041,984501
2016,447083,638749,5786,1091618
2017,569255,593675,13150,1176080
2018,728016,478337,30754,1237107
2019,757613,368104,39925,1165642
2020,513091,261155,31014,805260
2021,556126,199900,38216,794242
2022,569625,162269,45976,777870
2023,687981,146620,81802,916403
Total,11943476,13105719,307399,25356594
